id,name,host_total_listings_count,neighbourhood_group_cleansed,accommodates,price,has_availability,availability_365
700150,Luxury 2 bed suite with courtyard in city-centre,20.0,Eixample,4,364.0,t,121
703941,Sagrada Familia Apartment Eixample 22,13.0,Eixample,4,289.0,t,30
703973,Sagrada Familia Apartment Eixample 43,13.0,Eixample,3,266.0,t,29
703978,Sagrada Familia Apartment Eixample 33,13.0,Eixample,4,,t,0
703984,Sagrada Familia Apartment Eixample 42,13.0,Eixample,4,249.0,t,28
715036,Tapas in boho authentic in city center,1.0,Sants-Montjuïc,4,117.0,t,197
721378,Big and nice apartment near to Sagrada Familia,12.0,Eixample,6,244.0,t,103
721470,Nice studio with small private terrace,12.0,Eixample,2,200.0,t,136
721471,Beautiful private terrace in Studio near Sagrada,12.0,Eixample,2,211.0,t,116
721473,Apartment 2 bedrooms near to Sagrada Familia,12.0,Eixample,4,223.0,t,108
721478,Apartment private terrace near to Sagrada Familia,12.0,Eixample,6,256.0,t,101
721479,Apartment near to Sagrada Familia private terrace,12.0,Eixample,6,256.0,t,107
721504,Nice and Cozy Superior Apartment near to Sagrada,12.0,Eixample,6,253.0,t,88
879969,TRULY CENTRE NEXT  PLAZA CATALUÑA,10.0,Eixample,3,198.0,t,45
721509,One bedroom apartment near to Sagrada Familia,12.0,Eixample,4,207.0,t,122
721510,2 bedroom apartment near to Sagrada Familia,12.0,Eixample,6,218.0,t,118
721511,Beautiful apt with private terrace near to Sagrada,12.0,Eixample,6,229.0,t,100
721512,Beautiful apt with private terrace near to Sagrada,12.0,Eixample,6,229.0,t,106
722100,Double bedroom \ (^ - ^) / private bathroom,3.0,Ciutat Vella,2,,t,6
722742,Quiet apartment with terrace in Gracia,1.0,Gràcia,4,161.0,t,201
883382,"Ático, Terraza y BBQ, Park Güell",3.0,Horta-Guinardó,6,238.0,t,334
884420,Apartament near Camp Nou (Barça),2.0,Les Corts,3,147.0,t,145
886088,AVENIDA DIAGONAL CHIC&COZY AP. city centre,10.0,Eixample,4,168.0,t,53
887953,♛Fabulous Penthouse w/terrace-Sagrada Familia view,19.0,Eixample,8,368.0,t,104
723462,Port Vell Vista - Homecelona Apts,11.0,Ciutat Vella,4,150.0,t,132
724298,Modern apartment with sunny terrace,10.0,Eixample,2,184.0,t,108
724523,nice penthouse ramblas/Montjuic,2.0,Sants-Montjuïc,5,150.0,t,310
725009,Walk to Plaça de Catalunya from an Art-Filled Apartment,7.0,Eixample,4,236.0,t,224
728480,Mercedes Heritage - 4 Bedroom Apartment,16.0,Eixample,8,382.0,t,109
729078,In the heart of Barcelona,5.0,Ciutat Vella,4,96.0,t,149
731049,"Sunny Penhouse in Barcelona, Sants",2.0,Sants-Montjuïc,1,19.0,t,5
737759,Room and private bathroom center Bc,6.0,Eixample,2,,,0
739557,Apartamento zona Sagrada Familia,4.0,Eixample,4,200.0,t,239
888988,Family Luxury Flat in the Center,3.0,Sarrià-Sant Gervasi,6,229.0,t,309
889491,Poblenou Rooms 2,3.0,Sant Martí,1,60.0,t,254
889575,Architect House Mandarine Tree+WiFi,1.0,Horta-Guinardó,4,,t,0
892906,Céntrico y cómodo.,47.0,Eixample,5,177.0,t,300
740113,"Sunny, authentic Sant Antoni Apartment",10.0,Eixample,2,120.0,t,108
742156,"Apartment with BALCONY,  FREE WIFI",16.0,Sarrià-Sant Gervasi,6,211.0,t,174
742241,BIG apartment with GREAT COURTYARD,16.0,Gràcia,5,221.0,t,174
743612,BCN Chic Apartments - Free private parking,1.0,Sant Andreu,7,336.0,t,121
744153,Barcelona close to Sagrada Familia,1.0,Eixample,2,60.0,t,84
745220,In the TRENDIEST district with WIFI,16.0,Gràcia,5,212.0,t,174
745275,BIG SUNNY apartment with FREE WIFI,16.0,Gràcia,10,533.0,t,172
746086,BARCELONA | AUTHENTIC & CUTE APT NEAR CAMP NOU |¤,1.0,Sants-Montjuïc,5,172.0,t,329
748693,Two beds- Ramblas- Charming,2.0,Ciutat Vella,2,20.0,t,333
