X;Y;OBJECTID;Comunidad_;Provincia;Codigo_in;Termino_M;Identifica;Nombre;Longitud;Grado_ocup;Paseo_mar;Condicione;Zona_fonde;Nudismo;Vegetacio;Bandera_az;Auxilio_y_;Señalizac;Autobus;Aparcamien;Aseos;Lavapies;Duchas
0.051300000200367;388.629.999.989.387;1302;Comunitat Valenciana;Alicante/Alacant;3063;Dénia;1299;Molinos y Palmeras;1100;Alto;0;Aguas tranquilas;1;0;1;1;1;1;1;1;0;1;0
-0.635799999583508;381.399.999.992.183;1321;Comunitat Valenciana;Alicante/Alacant;3065;Elche/Elx;1318;La Marina;1100;Alto;0;Oleaje moderado;0;0;1;1;1;1;1;1;1;1;0
-855.120.000.025.654;433.109.999.987.987;1462;Galicia;A Coruña;15005;Arteixo;1580;Barrañán;1100;Alto;1;Oleaje fuerte / Ventosa;0;0;1;1;1;1;1;1;1;1;1
-817.379.999.958.625;434.134.999.988.501;1497;Galicia;A Coruña;15015;Cabanas;1616;La Madalena;1100;Alto;1;Aguas tranquilas;1;0;1;0;1;1;1;1;1;0;1
-0.333300000167102;394.151.999.987.604;1567;Comunitat Valenciana;Valencia/València;46250;Valencia;1532;Pinedo;1100;Alto;1;Aguas tranquilas;0;0;0;0;1;1;1;1;1;1;1
-8.932.899.999.935;425.982.999.988.507;1590;Galicia;A Coruña;15067;A Pobra do Caramiñal;1555;Arenal;1100;Alto;1;Aguas tranquilas;0;0;0;0;1;1;1;1;0; ;1
-724.250.000.026.693;435.663.999.991.617;1883;Galicia;Lugo;27005;Barreiros;1919;Altar;1100;Medio;1;Oleaje moderado;0;0;1;0;1;1;1;1;1;1;1
-882.120.000.012.912;421.425.999.989.557;2201;Galicia;Pontevedra;36035;Nigrán;2230;Panxón;1100;Alto;1;Oleaje moderado / Ventosa;1;0;0;0;1;1;1;1;1;0;1
269.010.000.015.283;41.620.699.999.314;2449;Cataluña/Catalunya;Barcelona;8163;Pineda de Mar;100813;Playa dels Pescadors;1100;Alto;1;Oleaje moderado / Ventosa;0;0;0;0;1;1;1;1;1; ;1
-159.319.999.971.393;373.999.999.990.985;2634;"Murcia; Región de";Murcia;30003;Águilas;2643;Poniente;1100;Alto;1;Oleaje moderado;0;0;1;1;1;1;1;1;1;1;0
-0.840899999927553;377.521.999.990.364;2677;"Murcia; Región de";Murcia;30902;Los Alcázares;2691;Las Palmeras;1100;Alto;1;Aguas tranquilas;0;0;1;0;1;1;1;1;1;1;0
-140.149.999.957.983;375.103.999.989.273;2702;"Murcia; Región de";Murcia;30024;Lorca;2722;Puntas de Calnegre;1100;Medio;0;Oleaje moderado;0;0;1;0;1;1;1;1;1;1;0
-119.339.999.988.599;375.705.999.990.799;2742;"Murcia; Región de";Murcia;30016;Cartagena;2761;La Calera;1100;Bajo;1;Oleaje moderado;0;0;1;0;0;0;1;1;0;0;0
-142.255.999.997.414;281.582.999.992.745;2956;Canarias;Las Palmas;35015;Pájara;2990;Sotavento;1100;Bajo;0;Ventosa / Aguas tranquilas;0;1;0;1;1;1;1;1;1; ;0
-258.470.000.041.885;367.941.999.989.934;3540;Andalucía;Almería;4079;Roquetas de Mar;400401;La Ventilla;1100;Bajo;1;Oleaje moderado;0;0;1;0;1;1;1;1;1;1;1
-508.340.000.001.322;36.449.899.999.127;214;Andalucía;Málaga;29051;Estepona;266;Arroyo de las Cañas;1120;Medio;1;Aguas tranquilas;1;0;1;0;0;0;1;0;0;0;1
150.530.000.007.981;411.757.999.992.699;1191;Cataluña/Catalunya;Tarragona;43163;El Vendrell;1217;El Francàs;1125;Alto;0;Aguas tranquilas;0;0;1;1;1;1;1;1;1;1;1
27.090.000.003.685;416.273.999.990.637;34;Cataluña/Catalunya;Barcelona;8261;Santa Susanna;924;Platja de les Dunes;1140;Medio;0;Oleaje moderado / Ventosa;1;0;0;0;1;1;1;1;1; ;1
-368.649.999.991.553;367.304.999.990.143;96;Andalucía;Granada;18017;Almuñécar;203;Puerta del Mar;1140;Alto;1;Aguas tranquilas;1;0;1;1;1;1;1;1;1;0;1
-435.949.999.988.072;367.180.999.992.884;400;Andalucía;Málaga;29067;Málaga;286;El Palo;1150;Alto;1;Oleaje moderado;1;0;0;0;1;1;1;0;1;1;1
-521.769.999.989.163;434.752.999.992.873;478;"Asturias; Principado de";Asturias;33019;Colunga;375;La Espasa;1150;Alto;1;Oleaje fuerte / Ventosa;0;0;0;0;1;1;1;1;1;1;1
-50.650.999.998.472;43.465.999.998.788;636;"Asturias; Principado de";Asturias;33056;Ribadesella;514;Santa Marina;1150;Alto;1;Oleaje moderado / Ventosa;0;0;0;0;1;1;0;1;1;1;1
-165.030.000.003.468;280.769.999.995.749;794;Canarias;Santa Cruz de Tenerife;38017;Granadilla de Abona;683;El Medio;1150;Bajo;0;Oleaje moderado;0;0;1;0;0;0;1;0;0;0;0
0.798399999556701;407.615.999.989.152;1099;Cataluña/Catalunya;Tarragona;43901;Deltebre;1124;La Marquesa;1150;Bajo;0;Aguas tranquilas;0;1;1;0;0;0;0;1;1;0;0
-0.647500000101995;3.808.049.999.911;1330;Comunitat Valenciana;Alicante/Alacant;3076;Guardamar del Segura;1328;La Roqueta;1150;Alto;0;Oleaje moderado;0;0;0;1;1;1;1;1;1;1;0
-757.959.999.985.002;436.895.999.991.044;1913;Galicia;Lugo;27066;Viveiro;1950;Area;1150;Medio;1;Oleaje moderado;0;0;1;1;1;1;1;1;1;1;1
-521.290.000.039.295;43.474.199.998.741;3447;"Asturias; Principado de";Asturias;33013;Caravia;403301;La Espasa;1150;Alto;1;Oleaje fuerte / Ventosa;0;0;0;0;1;1;1;1;1;1;1
-189.859.999.981.934;369.528.999.993.116;73;Andalucía;Almería;4032;Carboneras;34;Los Muertos;1160;Bajo;0;Oleaje moderado;0;0;0;0;0;0;1;1;0;0;0
237.619.999.979.361;414.939.999.989.622;791;Cataluña/Catalunya;Barcelona;8219;Vilassar de Mar;953;Platja de Ponent;1160;Medio;0;Aguas tranquilas;0;0,5;0;0;0;1;1;1;1;1;1
104.620.000.028.814;410.631.999.990.878;1162;Cataluña/Catalunya;Tarragona;43038;Cambrils;1178;La Llosa;1160;Alto;1;Aguas tranquilas;0;0;0;1;1;1;1;1;1;1;1
-915.599.999.997.114;431.298.999.993.277;1511;Galicia;A Coruña;15016;Camariñas;1630;Ariño;1160;Alto;0;Aguas tranquilas;0;0;1;0;1;1;0;1;1;1;1
140.249.999.966.253;388.427.999.988.762;2228;Illes Balears;Illes Balears;7048;Sant Josep de sa Talaia;2284;Es Cavallet;1160;Alto;0;Aguas tranquilas;0;1;0;0;0;0;1;1;1; ;1
110.869.999.961.819;410.715.999.989.232;1122;Cataluña/Catalunya;Tarragona;43038;Cambrils;1184;Cap de Sant Pere;1170;Alto;1;Aguas tranquilas;0;0;0;0;1;1;1;1;1; ;1
-129.190.000.039.677;375.604.999.992.003;2722;"Murcia; Región de";Murcia;30026;Mazarrón;2741;El Castellar;1170;Alto;1;Oleaje moderado;0;0;0;1;1;1;1;1;1;1;1
-212.169.999.985.547;367.453.999.993.277;161;Andalucía;Almería;4066;Níjar;84;Los Genoveses;1180;Alto;0;Aguas tranquilas;1;0;1;0;0;0;1;1;0;0;0
210.109.999.994.838;412.854.999.990.448;3228;Cataluña/Catalunya;Barcelona;8169;El Prat de Llobregat;200805;Platja Equipada;1185;Bajo;0;Aguas tranquilas / Oleaje fuerte;1;0;1;0;1;1;1;1;1; ;1
-0.107999999949024;398.285.999.990.003;2461;Comunitat Valenciana;Castellón/Castelló;12082;Nules;101205;Playa El Bovalar;1188;Medio;0;Oleaje moderado;0;0;0;0;1;1;1;1;0; ;1
0.010500000419241;388.651.999.990.378;1325;Comunitat Valenciana;Alicante/Alacant;3901;Els Poblets;1323;Setla-Mirarrosa;1190;Medio;0;Aguas tranquilas;0;0;0;0;0;0;1;1;0;0;0
-117.010.000.020.473;375.526.999.993.687;2800;"Murcia; Región de";Murcia;30016;Cartagena;2827;La Azohía;1190;Medio;1;Oleaje moderado;0;0;1;1;1;1;1;1;1;1;0
-136.611.000.002.157;28.920.099.999.024;3045;Canarias;Las Palmas;35028;Tías;3077;Blanca;1190;Alto;1;Aguas tranquilas;0;0;1;1;1;1;1;1;1;1;1
-16.933.999.999.162;373.317.999.989.448;31;Andalucía;Almería;4035;Cuevas del Almanzora;44;Pozo del Esparto;1200;Medio;1;Oleaje moderado;0;0;0;0;1;0;1;1;1;1;1
-238.069.999.971.663;368.366.999.990.034;52;Andalucía;Almería;4013;Almería;12;Costacabana;1200;Alto;1;Oleaje moderado / Ventosa;1;0;0;0;1;1;1;1;1;1;1
-620.879.999.966.513;363.902.999.992.696;218;Andalucía;Cádiz;11015;Chiclana de la Frontera;125;Sancti-Petri;1200;Medio;0;Aguas tranquilas / Ventosa;0;0;1;1;1;1;1;1;1; ;1
-609.919.999.958.377;362.803.999.987.986;230;Andalucía;Cádiz;11014;Conil de la Frontera;137;La Fontanilla;1200;Alto;1;Oleaje moderado / Ventosa;0;0;1;1;1;1;1;1;1; ;1
-538.479.999.978.781;361.798.999.993.714;256;Andalucía;Cádiz;11033;San Roque;164;Campamento;1200;Medio;1;Aguas tranquilas;0;0;0;0;1;1;1;1;1;1;1
